date,uri,hdUri,copyright,type
2012-09-26,https://apod.nasa.gov/apod/image/1209/shuttlelax_confer_960.jpg,https://apod.nasa.gov/apod/image/1209/shuttlelax_confer_3628.jpg,Stephen Confer,image
2012-09-27,https://apod.nasa.gov/apod/image/1209/ngc6726_lorenzi900c.jpg,https://apod.nasa.gov/apod/image/1209/ngc6726_lorenzi.jpg,Glittering Lights,image
2012-09-28,https://apod.nasa.gov/apod/image/1209/PegasusDustDavis900.jpg,https://apod.nasa.gov/apod/image/1209/PegasusDustDavis.jpg,John Davis,image
2012-09-29,https://apod.nasa.gov/apod/image/1209/NGC7023HallasHDR900.jpg,https://apod.nasa.gov/apod/image/1209/NGC7023HallasHDR.jpg,Tony Hallas,image
2012-09-30,https://apod.nasa.gov/apod/image/1209/ngc6745_hst_900.jpg,https://apod.nasa.gov/apod/image/1209/ngc6745_hst_755.jpg,,image
2012-10-01,https://apod.nasa.gov/apod/image/1210/ison_rolando_960.jpg,https://apod.nasa.gov/apod/image/1210/ison_rolando_1600.jpg,Ligustri Rolando,image
2012-10-02,https://apod.nasa.gov/apod/image/1210/streambank_curiosity_960.jpg,https://apod.nasa.gov/apod/image/1210/streambank_curiosity_965.jpg,,image
2012-10-03,https://apod.nasa.gov/apod/image/1210/goataurora_casado_800.jpg,https://apod.nasa.gov/apod/image/1210/goataurora_casado_800.jpg,Juan Carlos Casado,image
2012-10-04,https://apod.nasa.gov/apod/image/1210/Helix_BiColour_Finalpugh1022c.jpg,https://apod.nasa.gov/apod/image/1210/Helix_BiColour_Finalpugh.jpg,Martin Pugh,image
2012-10-05,https://apod.nasa.gov/apod/image/1210/meteorviolet_salomonsen_960.jpg,https://apod.nasa.gov/apod/image/1210/meteorviolet_salomonsen_1200.jpg,"Ole C. Salomonsen
 (Arctic Light Photo)",image
2012-10-06,https://apod.nasa.gov/apod/image/1210/TrapMosaic-HST-Gendler-Crop900.jpg,https://apod.nasa.gov/apod/image/1210/TrapMosaic-HST-Gendler-Crop.jpg,,image
2012-10-07,https://apod.nasa.gov/apod/image/1210/greyillusion_wikipedia_960.jpg,https://apod.nasa.gov/apod/image/1210/greyillusion_wikipedia_960.jpg,,image
2012-10-08,https://apod.nasa.gov/apod/image/1210/abell39_block_960.jpg,https://apod.nasa.gov/apod/image/1210/abell39_block_1200.jpg,Adam Block,image
2012-10-09,https://apod.nasa.gov/apod/image/1210/mp_2011-11_Simeis147Andreo.jpg,https://apod.nasa.gov/apod/image/1210/mbp_2011-11_Simeis147Andreo.jpg,Rogelio Bernal Andreo,image
